a,a,a,a,a,a,a,a,a,a,a,a,a,Ccentr,a
20.5,UChO7xlACgCNpOOIA3Wk6MVQ,,no,,105000,974,516670,AU,2010-03-24T23:25:14Z,5048,1,Samsung Australia,1,1
1334.5,UCWwgaK7x0_FR1goeSRazfsQ,,yes,1,6640000,2138,16971027,KR,2006-03-11T06:57:39Z,6523,2,Samsung,0.914634146,0.953333333
0,UCDrp-8VUYPbsVVxdqxNOHhw,,no,,36600,818,367834,NZ,2012-06-18T23:53:30Z,4231,3,Samsung New Zealand,0.517241379,0.555555556
45.16666667,UCC7Pt4G2JPEj91qOdkc6RSw,,no,,97600,2117,5971492,PL,2009-12-20T11:35:02Z,5142,3,Samsung Polska,0.517241379,0.546666667
1.833333333,UCamYoLu-bNaUKGvsjhDfnOw,,no,,585000,1198,7028932,MX,2007-02-08T15:24:19Z,6188,3,Samsung México,0.510204082,0.546666667
24.33333333,UCPA6aibrPJQI4Nl1FAKW0Jg,,no,,250000,497,1887988,MA,2012-06-06T13:28:56Z,4243,3,Samsung Maroc,0.506756757,0.535555556
0,UC3O8-tKnz9VUn3sxZKyKN3w,,no,,4990000,2076,39351494,IN,2009-06-29T13:56:07Z,5316,3,Samsung India,0.5,0.526666667
6.333333333,UCI6U-DdjBWSbphJEgA8cn8A,,no,,20200,684,475425,AT,2007-06-28T16:08:40Z,6048,3,Samsung Österreich,0.496688742,0.515555556
0,UCNd3VHIu7tWL58zBIMkODDw,,no,,25000,982,308595,CH,2011-06-07T09:43:33Z,4608,3,Samsung Switzerland,0.493421053,0.508888889
1.5,UCBTDxCoWmk9O6M6g0y_vjZg,,no,,169000,680,1016778,FR,2011-04-22T12:36:13Z,4654,3,Samsung France,0.493421053,0.517777778
3.5,UCD9BghRey5ZD-qdt60w0KoA,,no,,57700,0,0,not set,2010-08-25T19:38:43Z,4894,3,KYU WON LEE,0.490196078,0.506666667
1.833333333,UC81_568oEU2QS04qVj6kLbA,,no,,4320,573,82524,NO,2010-12-13T13:30:53Z,4784,3,Samsung Norge,0.490196078,0.506666667
1.833333333,UCPh7YEYv4pRp_FBOkJ1pTzA,,no,,6530,579,107995,FI,2010-12-20T11:19:39Z,4777,3,Samsung Suomi,0.490196078,0.506666667
1.833333333,UCvI_B4l0n_So11Le_pThTqw,,no,,14600,655,200232,SE,2009-06-12T06:29:32Z,5334,3,Samsung Sverige,0.490196078,0.506666667
0,UCtORMiqZpygwriZ7T8w2kiQ,,no,,2650,758,267311,EE,2011-01-13T11:57:29Z,4753,3,Samsung Estonia,0.487012987,0.504444444
0,UCk7WiZN-L-TftBqN1I9chYw,,no,,6270,862,673094,LV,2010-11-04T13:43:39Z,4823,3,Samsung Latvia,0.487012987,0.504444444
0,UCHtzUQUZVu5OO-NNGlF4Ujw,,no,,5850,800,781833,LT,2010-12-06T21:46:15Z,4791,3,Samsung Lithuania,0.487012987,0.504444444
3.833333333,UCOzhlS-OV7GbCIzO19cPL-w,,no,,227000,2329,6339260,DE,2009-01-30T15:45:13Z,5466,3,Samsung Deutschland,0.487012987,0.5
19,UCSGD1TbYm5ZEZtGKQlkZ69A,,no,,2210000,2296,37265063,VN,2011-02-17T07:06:48Z,4719,3,Samsung Vietnam,0.487012987,0.5
